model,condition,raw_bytes,gzip_ratio,lzma_ratio,zstd22_ratio,brotli_ratio,trigram_entropy,pentgram_entropy,mattr_w200,log_len,contrast
claude-sonnet-4-6,narrative_cot,8008,0.43481518481518483,0.4355644355644356,0.4230769230769231,0.3407842157842158,10.171122007210203,11.80623396034312,0.6885913591359136,8.988196320995057,1.0
claude-sonnet-4-6,standard_cot,1820,0.5230769230769231,0.5802197802197803,0.5181318681318682,0.3587912087912088,9.423299137265987,10.319113310371327,0.7536734693877551,7.506591780070841,-1.0
claude-sonnet-4-6,narrative_cot,8012,0.4296055916125811,0.4313529705441837,0.4213679480778832,0.34473290064902645,10.105154679845553,11.8313771004419,0.7069148936170213,8.988695696785708,1.0
gpt-5.4-nano,standard_cot,1279,0.5543393275996873,0.6317435496481626,0.5535574667709148,0.4253322908522283,9.125317655240488,9.923757224110915,0.723404255319149,7.153833801578843,-1.0
gpt-5.4-nano,narrative_cot,11033,0.41412127254599834,0.4111302456267561,0.4019758905102873,0.3325478111121182,10.29083680878105,12.16742300455471,0.7554108216432865,9.308646060760307,1.0
gpt-5.4-nano,standard_cot,3085,0.47196110210696923,0.5017828200972447,0.4696920583468395,0.3500810372771475,9.639975546428069,10.79072988794672,0.7474215246636772,8.034306936339489,-1.0
claude-sonnet-4-6,standard_cot,1506,0.5411686586985391,0.6162018592297477,0.5438247011952191,0.38645418326693226,9.332873910562025,10.139086607644336,0.7547368421052633,7.317212408359839,-1.0
grok-4-1-fast-reasoning,standard_cot,2679,0.5315416200074655,0.5703620754012692,0.5322881672265771,0.421799178798059,9.900572324909577,10.94270760083725,0.8029761904761905,7.893198869544609,-1.0
claude-haiku-4-5,narrative_cot,5842,0.44436836699760357,0.452584731256419,0.43495378295104414,0.3486819582334817,10.05381435621438,11.510870011898666,0.7159416058394161,8.672828482947686,1.0
gpt-5.4-nano,narrative_cot,14607,0.4112411857328678,0.402820565482303,0.3974806599575546,0.32806188813582526,10.436096973467974,12.50237908381279,0.7645960365853659,9.589256144850811,1.0
claude-haiku-4-5,narrative_cot,4978,0.4622338288469265,0.4724789071916432,0.452591402169546,0.35877862595419846,10.055233599074118,11.449050593500866,0.7718279569892473,8.512783482927537,1.0
claude-haiku-4-5,standard_cot,1469,0.5459496255956433,0.6153846153846154,0.5500340367597005,0.39278420694349897,9.261467142492009,10.079144869407347,0.75,7.292337176173877,-1.0
gpt-5.4-nano,standard_cot,2737,0.5188162221410303,0.5582754841066861,0.5206430398246255,0.40555352575812936,9.821256580344542,10.916586658528724,0.7800483091787438,7.914617709040679,-1.0
claude-sonnet-4-6,standard_cot,1699,0.5197174808711007,0.5838728663919953,0.5220718069452619,0.36492054149499703,9.418187427449508,10.244702830629368,0.7498,7.4377951216719325,-1.0
claude-sonnet-4-6,narrative_cot,5699,0.4451658185646605,0.45551851201965254,0.43533953325144764,0.3504123530443938,9.961762515906774,11.504546446739976,0.693835904628331,8.648045999835,1.0
gpt-5.4-nano,standard_cot,1295,0.5853281853281853,0.6671814671814672,0.5891891891891892,0.44015444015444016,9.23389135472319,10.06740713436285,0.7927461139896373,7.166265974133638,-1.0
gpt-5.4-nano,standard_cot,2820,0.48723404255319147,0.5234042553191489,0.48333333333333334,0.37553191489361704,9.532254678972437,10.725017066898902,0.7289375,7.944492163932159,-1.0
grok-4-1-fast-reasoning,standard_cot,1091,0.5857011915673694,0.6709440879926672,0.5912007332722273,0.46471127406049495,9.060482145031315,9.689306035727098,0.8333333333333334,6.994849985833071,-1.0
gpt-5.4-nano,standard_cot,1483,0.5293324342548887,0.5987862440997977,0.533378287255563,0.3728927848954821,9.218949004817212,10.032173966434792,0.7164285714285714,7.301822342137932,-1.0
claude-haiku-4-5,narrative_cot,5606,0.4505886550124866,0.4602211915804495,0.43738851230824116,0.33803068141277204,10.02928344240827,11.551280144889782,0.7459309791332264,8.631592731724734,1.0
claude-haiku-4-5,narrative_cot,8635,0.4479444122756225,0.44887087434858136,0.4359004053271569,0.34881297046902143,10.291761099350099,12.076057180554688,0.7558400718778078,9.06357899058078,1.0
claude-sonnet-4-6,narrative_cot,7441,0.4266899610267437,0.43004972449939527,0.41526676521972855,0.3308695067867222,10.04930774486688,11.713295534946997,0.6708666017526778,8.914760527397261,1.0
gpt-5.4-nano,narrative_cot,10010,0.41968031968031966,0.4171828171828172,0.4072927072927073,0.34685314685314683,10.159148766214118,12.038382201129968,0.7278799185888738,9.211339872309265,1.0
claude-sonnet-4-6,narrative_cot,7949,0.4205560447855076,0.4216882626745503,0.40961127185809537,0.3312366335388099,10.111273032063995,11.810455827099018,0.7043393536121674,8.980801413573113,1.0
claude-haiku-4-5,narrative_cot,6047,0.44369108648916816,0.45245576318835784,0.4347610385315032,0.3486026128658839,9.98784319468231,11.587547360722454,0.7250069060773481,8.707317560273212,1.0
claude-haiku-4-5,narrative_cot,6011,0.4451838296456496,0.4538346364997505,0.43420395940775247,0.33971053069372814,10.097571543754736,11.599362993636586,0.7590423861852433,8.701346403039162,1.0
claude-sonnet-4-6,standard_cot,1633,0.5278628291488059,0.6001224739742804,0.5278628291488059,0.3735456215554195,9.373811247942582,10.263306891130245,0.7294186046511628,7.398174092970465,-1.0
